Attribute,Value
City,Glen Park
Revenue,4140
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Good Hart
Revenue,667
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Goodings Grove
Revenue,3622.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Grabill
Revenue,8797.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Griswoldville
Revenue,1035
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Guin
Revenue,2668
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hambleton
Revenue,517.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hanoverton
Revenue,3864
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hardeeville
Revenue,4554
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hawarden
Revenue,12075
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Heartwell
Revenue,2484
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hedrick
Revenue,3956
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Heilwood
Revenue,3864
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hollandsburg
Revenue,552
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Hollywood Park
Revenue,2748.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Homer City
Revenue,12811
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Howells
Revenue,1334
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Huntingburg
Revenue,12075
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Idaho City
Revenue,2208
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Imlaystown
Revenue,2070
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Impact
Revenue,2208
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Inguadona
Revenue,5175
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Isabela
Revenue,552
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Jemison
Revenue,1138.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Kalvesta
Revenue,5692.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Kannapolis
Revenue,7590
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Kerby
Revenue,5692.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Knifley
Revenue,2760
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Koontzville
Revenue,4163
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Larose
Revenue,13524
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lemeta
Revenue,368
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lime Lake
Revenue,517.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lisco
Revenue,2415
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lost River
Revenue,3990.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lostine
Revenue,1380
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lynne
Revenue,1173
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Lytle
Revenue,1035
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Mahaffey
Revenue,10246.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Marcell
Revenue,4485
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Marin City
Revenue,299
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Mauldin
Revenue,2760
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Mayhill
Revenue,5198
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,McCamey
Revenue,368
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,McClave
Revenue,1840
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Medicine Lodge
Revenue,1196
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Mickleton
Revenue,483
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Montoya
Revenue,4830
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Muir
Revenue,3001.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Nicasio
Revenue,3335
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Northrop
Revenue,5520
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Nuangola
Revenue,368
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Obetz
Revenue,2208
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Oconto Falls
Revenue,3312
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Olivette
Revenue,3312
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Omer
Revenue,2484
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Orchard Hill
Revenue,4416
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Oriole Beach
Revenue,11109
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Orrtanna
Revenue,1794
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Ovilla
Revenue,2415
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Page City
Revenue,5727
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Panaca
Revenue,11833.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Pawlet
Revenue,4968
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Philip
Revenue,5692.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Plaquemine
Revenue,10189
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Plum Branch
Revenue,1173
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Port Hueneme
Revenue,10246.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Rockwall
Revenue,7222
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Saint Louis Park
Revenue,276
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Sarversville
Revenue,2208
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Sekiu
Revenue,4968
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Sentinel Butte
Revenue,6037.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Severna Park
Revenue,1196
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Shay
Revenue,736
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Silver Plume
Revenue,11385
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Sinclair
Revenue,9108
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Slanesville
Revenue,1173
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Spillertown
Revenue,15893
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Stallion Springs
Revenue,2208
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Stonefort
Revenue,3335
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Taft Heights
Revenue,1656
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Termo
Revenue,10867.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Terre du Lac
Revenue,9660
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Teutopolis
Revenue,6624
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Tilleda
Revenue,1495
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Tolna
Revenue,1449
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Tooele
Revenue,10557
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Trentwood
Revenue,4830
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Triadelphia
Revenue,11385
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Trout Run
Revenue,5520
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Truscott
Revenue,1104
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Tuscaloosa
Revenue,276
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Twodot
Revenue,2725.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Upper Preston
Revenue,9108
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Valdese
Revenue,2530
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Valhalla
Revenue,2415
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Vamo
Revenue,10557
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Vassalboro
Revenue,9660
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Vidrine
Revenue,2645
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Wallagrass
Revenue,10557
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Wapiti
Revenue,7038
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Ware Shoals
Revenue,7969.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Wells
Revenue,5313
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,West Elkton
Revenue,3381
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,West Frostproof
Revenue,7176
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,West Hempstead
Revenue,966
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Windsor Locks
Revenue,2668
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Cotuit
Revenue,4830
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Elbing
Revenue,9729
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Ewart
Revenue,2415
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Haltom City
Revenue,7969.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Jesmond Dene
Revenue,3622.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Laurence Harbor
Revenue,2944
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Mary Esther
Revenue,5520
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Mashulaville
Revenue,1656
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Nesmith
Revenue,483
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,North Brookfield
Revenue,2932.5
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Staley
Revenue,2001
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Tiff City
Revenue,2070
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Van Alstyne
Revenue,2277
Date,2018 Jan
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Supermarket
City,Yerington
Revenue,333.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Caruthers
Revenue,7969.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Great Neck
Revenue,5692.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Greenfield
Revenue,8452.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Hanna
Revenue,3208.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,McCammon
Revenue,2668
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Orland Hills
Revenue,5865
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Pastura
Revenue,6888.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Ravia
Revenue,12075
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Red Mesa
Revenue,12868.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Roberta Mill
Revenue,5715.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Shenorock
Revenue,1667.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Switz City
Revenue,10867.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Tamora
Revenue,5347.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Tolchester Beach
Revenue,483
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Computer Store
City,Wrangell
Revenue,5520
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Corporate
City,Buchanan Lake Village
Revenue,598
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Corporate
City,Chalco
Revenue,736
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Corporate
City,Cherokee
Revenue,10557
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Corporate
City,Eagle Valley
Revenue,966
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Corporate
City,Grider
Revenue,7498
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Corporate
City,Jones Creek
Revenue,552
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Corporate
City,New Plymouth
Revenue,1104
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Corporate
City,Oley
Revenue,1104
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Corporate
City,Roachtown
Revenue,4416
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Corporate
City,Schoharie
Revenue,2990
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Corporate
City,Watonga
Revenue,4416
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Gift Store
City,Dennis Acres
Revenue,8188
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Gift Store
City,Gresston
Revenue,1104
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Gift Store
City,Hanaford
Revenue,10488
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Gift Store
City,Lake Mohegan
Revenue,5520
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Gift Store
City,North Muskegon
Revenue,2093
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Gift Store
City,Scioto Furnace
Revenue,4439
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Gift Store
City,Seiling
Revenue,17388
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Gift Store
City,Sigel
Revenue,7245
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Gift Store
City,Spillville
Revenue,2668
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Gift Store
City,Zurich
Revenue,2093
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Akhiok
Revenue,828
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Alcester
Revenue,3312
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Alstead
Revenue,8452.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Amanda Park
Revenue,4416
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Andrix
Revenue,4657.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Arietta
Revenue,2277
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Arrow Rock
Revenue,3335
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Ashtabula
Revenue,9384
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Aspen Park
Revenue,3680
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Avenal
Revenue,1667.5
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Baldwin City
Revenue,2415
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Beekmantown
Revenue,3312
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Berville
Revenue,1794
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Bethel Acres
Revenue,2576
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Big Moose
Revenue,9660
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Black Lick
Revenue,276
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Bladenboro
Revenue,2346
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Boalsburg
Revenue,1656
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Bonner Springs
Revenue,4416
Date,2018 Feb
Color,Blue
Supplier Category,Packaging Supplier
Supplier Name,"Litware, Inc."
Customer Category,Novelty Shop
City,Bourneville
Revenue,3519
Date,2018 Feb
